text,date,from,photo,file_name
"ОТКРЫТИЕ НАБОРА НА БЕСПЛАТНОЕ ОБУЧЕНИЕ ПРОФЕССИИ РИЛСМЕЙКЕРА

Мы сильно поработали над новым контентом.

Это будет реально неделя прорыва:

1️⃣ Минимум 4 обучающие встречи: студийные вебинары и прямые онлайн трансляции из съёмочной

2️⃣ 3 практических мастер-класса, домашка с практикой

3️⃣ Личный наставник для каждого, кто сдаст ДЗ - действующий рилсмейкер Умскул

4️⃣ Готовые уроки по монтажу и съёмке, гайды по логике работы алгоритмов Reels и стратегии карьерного роста в сфере

5️⃣ Реальные истории людей, которые проходили наше обучение и сейчас попали в команду рилсмейкеров Умскул

📱 Встретимся в студии, через 2 клика ты попадёшь к нам: https://umschool-reels-marathon.ru

Обучение ещё не началось, а мы уже дарим тебе несколько подарков.

— В канале тебя ждут два стартовых полезных гайда (и не пропусти небольшой видос ""как выглядит рабочий день рилсмейкера"")

— Как твой преподаватель обещал выше - лови небольшой урок (пригодится каждому!): сделай первый шаг и настрой камеру в своём телефоне на топовом уровне

Такого качества контента будет море лично для тебя!

Освой азы новой профессии или начни раскачивать свои соц. сети.

🤝 Ждём: https://umschool-reels-marathon.ru",2024-03-20T23:53:43,Рекламы хуйни для нейронки,,IMG_4689.MOV
"70.000$ за биткоин, а ведь год назад он стоил 14к. 
То есть если бы ты купил биток на 10.000$ то сейчас бы имел на счету 50.000$

И самое забавное, что биткоин не дает большой прибыли в отличии от других Крипто-Монет, которые взлетают в 10-20 раз 🚀 

Автор канала Galileo.Eth имеет портфель более 1 000 000$ и публично показывает свои сделки.

⚡️ На своем канале:
— Бесплатно показывает свои сделки и дает рекомендации
— Отработал 90% приватных идей
— Имеет кучу положительных отзывов

В 9 из 10 случаев информацию из канал Galileo.Eth воруют в другие каналы и некоторые даже ее продают!

Подписывайтесь, чтобы видеть все возможности наперёд и ими воспользоваться: Просмотреть список самых перспективных монет, которые покажут прибыль в марте 2024👈

#реклама",2024-03-20T23:53:56,Рекламы хуйни для нейронки,,
"Вклад в Тинькофф с доходностью 16%
Помимо отличной ставки банк предлагает комфортные условия для их держателей:

– ежемесячное начисление процентов на карту или вклад;
– пополнение в приложении или наличными в банкомате Тинькофф и банков-партнеров;
– моментальный вывод с вклада на дебетовую карту или наличными в банкомате;
– все вклады на сумму до 1,4 млн. руб. застрахованы.

Также можно завести мультивалютный вклад в рублях и юанях и конвертировать валюту внутри вклада без потери процентов. За подробностями сюда

Реклама. АО ""ТИНЬКОФФ БАНК"" ИНН 7710140679",2024-03-20T23:55:37,Рекламы хуйни для нейронки,photos/photo_34@20-03-2024_23-55-37.jpg,
"Проводить стримы очень страшно…
ДУМАЛА Я, пока не решилась провести первый))) Мне и до сих пор перед каждым стримом мандражно, но это приятное, доброе чувство💕
Вообще, много что нас страшит. Но прямо на пути к страху притаился наш огромный личностный рост💪
Честное слово, перед первым своим стримом, я сбегала в тувалет раз 5 за час…И КАКОЙ ЖЕ ЗАРЯД Я ПОЛУЧИЛА НА ЭТОМ СТРИМЕ🥴
Мне НЕВЕРОЯТНО понравилось это дело! А ведь я очень боялась…и ведь могла так и не решиться
Чувствуете? Пахнет едва не упущенной возможностью почувствовать себя счастливей, найдя новое занятие по душе😨

Спасибо моему психологу за то, что помогла мне пойти навстречу моим страхам с улыбкой и осознанием того, что лучше неидеальное действие, чем идеальное бездействие 🥺
И каждый раз, выбирая идти на страх, я возвращалась более сильной и уверенной в себе- это непередаваемое ощущение!

Благодаря первому и самому крупному в России сервису подбора и видео-консультаций с психологами Ясно, вы тоже можете начать знакомство со своими монстрами и понять, в чём их положительные черты! 🙁
Сервис устроен так, чтобы ты ощущал себя максимально комфортно, а сессия проходила продуктивно. Например, мне очень нравится, что во время звонка ты не видишь свое лицо. Так гораздо легче сфокусировать внимание на диалоге с терапевтом и не отвлекаться на свой внешний вид😳
В Ясно психолога подбирают индивидуально, под ваш запрос. Умный алгоритм предложит несколько кандидатов на выбор, а если останутся сомнения — служба поддержки поможет сориентироваться или подберет специалиста вручную 👍
А с моим промокодом ANASTASIZ вы получите скидку 20% на первую сессию при регистрации!

Не бойтесь пробовать новое!🙏

Реклама. ООО ""Ясно. Лайв""., ОГРН 1217700387442, ИНН 9703044223",2024-03-20T23:58:23,Рекламы хуйни для нейронки,photos/photo_35@20-03-2024_23-58-23.jpg,
"Отметила Новый Год, отекла, откисаю...
Да, было???👃

Спасибо ЛЭТУАЛЬ, в котором сейчас (успейте до 10 января!!!) скидки до 50%!!!
Благодаря ЛЭТУАЛЬ очень легко прийти себя, чтобы выйти из праздников свежее и вкуснее, чем прошлогодний оливье😏

1. Зажигаем свечку L’ETOILE HOME с ароматом веселья в новогоднюю ночь, чтобы продлить удовольствие 
2. Масочка GREEN SKINCARE для увлажнения 
3. Намазываемся кремом D'Alba, чтобы вернуть коже потерянную влагу и убрать последствия от укусов мороза, которые заработали, пока кутили на улице
4. Тинт Too Cool For School для губ, чтобы ещё свежее было
5. Завершающий ПШИК ароматом Garnir «Flanders», который вдохновлен знаменитой книгой «Неллой и Патраш» (почитаю…напшикаюсь ещё для эффекта 7D) 
И ИДЁМ ВОЗВРАЩАТЬСЯ В ЖИЗНЬ! 🕶

Приходите в магазины ЛЭТУАЛЬ, собирайте свои идеальные подарочные наборы на 15 000₽, а на кассе платите всего 6 000₽!!!👀
А если выберете еще пару товаров на тысячу рублей, вы еще и БЕСПЛАТНО получите сумку от Jimmy Choo!!! Подробности — тут 
Новогоднее чудо работает только до 31 января при покупке на сумму от 6 999₽!

Реклама, ООО «Алькор и Ко», ИНН 7729265128",2024-03-20T23:58:53,Рекламы хуйни для нейронки,photos/photo_36@20-03-2024_23-58-53.jpg,
,2024-03-20T23:58:53,Рекламы хуйни для нейронки,photos/photo_37@20-03-2024_23-58-53.jpg,
,2024-03-20T23:58:53,Рекламы хуйни для нейронки,photos/photo_38@20-03-2024_23-58-53.jpg,
,2024-03-20T23:58:53,Рекламы хуйни для нейронки,photos/photo_39@20-03-2024_23-58-53.jpg,
,2024-03-20T23:58:53,Рекламы хуйни для нейронки,photos/photo_40@20-03-2024_23-58-53.jpg,
"В 2024 НИКТО не сможет купить квартиру. Посмотрите сами: даже убогая студия стоит 10-15-20 миллионов, ипотека — чистое рабство на 30 лет и дальше будет только хуже. 

Но это ложь. И чтобы это понять — достаточно читать Не Движется. 

Там на пальцах рассказывают, как получить от государства 950 000 на покупку квартиры, как получить ипотеку под 0% годовых и что надо сделать, чтобы купить квартиру дешевле.

Подписывайтесь, других таких каналов просто нет: Не движется

#реклама",2024-03-21T00:00:07,Рекламы хуйни для нейронки,photos/photo_41@21-03-2024_00-00-07.jpg,
"Зашёл в New Balance и был в шоке от цен — они там просят 20.000₽ за 2002r 🤬

Зачем переплачивать? Когда можно заказать в 3 раза дешевле в HENZO - в одном из самых старых и крупных телеграмм-магазинов брендовых кросс.

Качество идеальное, доставка по всей РФ и СНГ, гарантия на каждую пару, еще и оплата при получении есть 💸

В общем, теперь заказываю только тут. 

Кстати, по промокоду ""TG500"" ребята дарят СКИДКУ  -500₽ на первый заказ на любые кроссы из ассортимента. 
Поэтому переходи, заказывай и хватит переплачивать за бренд 👟",2024-03-21T00:00:07,Рекламы хуйни для нейронки,,IMG_8592.MP4
"До лета осталось всего 75 дней, а значит, сейчас самое время начать приводить свои мозги и тело в порядок. 

И если с мозгами вам поможет Первое Впечатление, которое расскажет о самых актуальных трендах и тенденциях в диджитале и оффлайне, то над телом придется поработать самим.

Именно для этого 29 марта мы разыграем среди наших любимых подписечников лучшие фитнес-браслеты Xiaomi Mi band 8. 

Первое Впечатление — это объединенная редакция директоров и менеджеров по маркетингу, копирайту, дизайну и креативу. Мастхэв подписка для каждой творческой личности!

ПОДПИСАТЬСЯ, ЧТОБЫ УЧАВСТВОВАТЬ",2024-03-21T00:00:15,Рекламы хуйни для нейронки,photos/photo_42@21-03-2024_00-00-15.jpg,
"Если бы каждый день вы инвестировали в скрытые стратегии по 22 рубля, то за 3 года у вас накопилось 857 тысяч.

Мы живём во времена, когда одна чашка кофе может сделать целое состояние. Вот только большинство людей ничего не знают о финансовой грамотности.

Чтобы всегда быть при деньгах, вам не нужны миллионы. Хватит и 100 рублей – именно с такой суммы можно выгодно начать. А как – подскажет канал «TONY BET»

Здесь объясняют, куда деть небольшую сумму денег, чтобы получать от 100.000₽ на пассиве.

Подпишитесь: https://t.me/+QxWpZWE5Hd0xOGE6

#реклама",2024-03-21T00:00:17,Рекламы хуйни для нейронки,photos/photo_43@21-03-2024_00-00-17.jpg,
